playerID,bbrefID,fangraphsID
allenpe01,allenpe01,1000156
allenro01,allenro01,1000157
allenro02,allenro02,1000158
allensl01,allensl01,1000159
alleyge01,alleyge01,1000160
alliebo01,alliebo01,1000161
alliega01,alliega01,1000162
allisan01,allisan01,1000163
allisar01,allisar01,1000164
allisbo01,allisbo01,1000166
allisda01,allisda01,1000167
allisma01,allisma01,1000169
allismi01,allismi01,1000170
allrebe01,allrebe01,1000171
almadme01,almadme01,1000172
almanar01,almanar01,507
almanca01,almanca01,308
almonab01,almonab01,5486
almonbi01,almonbi01,1000174
almoned01,almoned01,1764
almoner01,almoner01,808
almonhe01,almonhe01,1729
almonmi01,almonmi01,14139
almonye01,almonye01,15068
almonzo01,almonzo01,6732
alomaro01,alomaro01,860
alonspe01,alonspe01,19251
alonsyo01,alonsyo01,2530
aloufe01,aloufe01,1000177
alouje01,alouje01,1000178
alouma01,alouma01,1000179
aloumo01,aloumo01,261
alstode01,alstode01,1000181
alstoga01,alstoga01,1000182
alstoto01,alstoto01,1000183
alstowa01,alstowa01,1000184
altampo01,altampo01,1000185
altavda01,altavda01,16507
altener01,altener01,1000186
altenje01,altenje01,1000187
altizda01,altizda01,1000188
altmage01,altmage01,1000189
altobjo01,altobjo01,1000190
altroni01,altroni01,1000191
altuvjo01,altuvjo01,5417
alusige01,alusige01,1000192
alvarab01,alvarab01,6259
alvarcl01,alvarcl01,1000193
alvarga01,alvarga01,1000194
alvarjo01,alvarjo01,1000195
alvarju01,alvarju01,1432
alvarlu01,alvarlu01,1000196
alvaror01,alvaror01,1000197
alvaros01,alvaros01,1000198
alvarro01,alvarro01,1000199
alvarta01,alvarta01,1000200
alvarvi01,alvarvi01,1559
alvarwi01,alvarwi01,1193
alvaryo01,alvaryo01,19556
alvisma01,alvisma01,1000201
alyeabr01,alyeabr01,1000203
alzolad01,alzolad01,17859
amalfjo01,amalfjo01,1000204
amarari01,amarari01,1000205
amarial01,amarial01,9063
amaroru01,amaroru01,1000206
amblewa01,amblewa01,1000208
ambrech01,ambrech01,2042
ambrihe01,ambrihe01,559
amelued01,amelued01,1000209
amesre01,amesre01,1000210
amesst01,amesst01,9615
amezaal01,amezaal01,1
amorosa01,amorosa01,1000212
amorvi01,amorvi01,1000213
anckewa01,anckewa01,1000214
anderal01,anderal01,1000215
anderal02,anderal02,1000216
anderan01,anderan01,1000217
anderbi01,anderbi01,1000218
anderbo01,anderbo01,1000219
anderbr01,anderbr01,364
anderbr02,anderbr02,44
anderbr03,anderbr03,6144
anderbr04,anderbr04,8223
anderbr05,anderbr05,9871
anderbr06,anderbr06,18289
anderbu01,anderbu01,1000220
anderch01,anderch01,6895
anderco01,anderco01,12799
andercr01,andercr01,1000221
anderda01,anderda01,1000222
anderda02,anderda02,1000223
anderdr02,anderdr02,15130
anderdw01,anderdw01,1000224
anderfe01,anderfe01,1000225
anderfr01,anderfr01,1000226
anderga01,anderga01,2
anderge01,anderge01,1000227
andergo01,andergo01,1000228
anderha01,anderha01,1000229
anderha02,anderha02,1000230
anderja01,anderja01,1661
anderji01,anderji01,1000231
anderji02,anderji02,977
anderjo01,anderjo01,1000232
anderjo03,anderjo03,6032
anderju01,anderju01,16201
anderke01,anderke01,1000234
anderla01,anderla01,1000235
anderla02,anderla02,1000236
anderla03,anderla03,9018
anderma01,anderma01,459
anderma02,anderma02,947
andermi01,andermi01,1000237
anderni01,anderni01,18337
anderre01,anderre01,1000239
anderri01,anderri01,1000240
anderri02,anderri02,1000241
andersc01,andersc01,1000242
andersh01,andersh01,19453
andersp01,andersp01,1000243
anderta01,anderta01,18029
anderti01,anderti01,15172
anderty01,anderty01,12880
anderva01,anderva01,1000244
anderwa01,anderwa01,1000245
anderwi01,anderwi01,1000246
andinro01,andinro01,4900
andrast01,andrast01,7018
